Deal ID,Deal name,Source,Archetype,Vertical,Asking price ($),Seller SDE ($),Seller EBITDA ($),Normalized SDE ($),Normalized EBITDA ($),Seller financing %,Status,Notes,Date added
D001,,,,,,,,,,,,,
D002,,,,,,,,,,,,,
D003,,,,,,,,,,,,,
D004,,,,,,,,,,,,,
D005,,,,,,,,,,,,,
